,exchange,cal_date,is_open
0,SSE,20180101,0
1,SSE,20180102,1
2,SSE,20180103,1
3,SSE,20180104,1
4,SSE,20180105,1
5,SSE,20180106,0
6,SSE,20180107,0
7,SSE,20180108,1
8,SSE,20180109,1
9,SSE,20180110,1
10,SSE,20180111,1
11,SSE,20180112,1
12,SSE,20180113,0
13,SSE,20180114,0
14,SSE,20180115,1
15,SSE,20180116,1
16,SSE,20180117,1
17,SSE,20180118,1
18,SSE,20180119,1
19,SSE,20180120,0
20,SSE,20180121,0
21,SSE,20180122,1
22,SSE,20180123,1
23,SSE,20180124,1
24,SSE,20180125,1
25,SSE,20180126,1
26,SSE,20180127,0
27,SSE,20180128,0
28,SSE,20180129,1
29,SSE,20180130,1
30,SSE,20180131,1
31,SSE,20180201,1
32,SSE,20180202,1
33,SSE,20180203,0
34,SSE,20180204,0
35,SSE,20180205,1
36,SSE,20180206,1
37,SSE,20180207,1
38,SSE,20180208,1
39,SSE,20180209,1
40,SSE,20180210,0
41,SSE,20180211,0
42,SSE,20180212,1
43,SSE,20180213,1
44,SSE,20180214,1
45,SSE,20180215,0
46,SSE,20180216,0
47,SSE,20180217,0
48,SSE,20180218,0
49,SSE,20180219,0
50,SSE,20180220,0
51,SSE,20180221,0
52,SSE,20180222,1
53,SSE,20180223,1
54,SSE,20180224,0
55,SSE,20180225,0
56,SSE,20180226,1
57,SSE,20180227,1
58,SSE,20180228,1
59,SSE,20180301,1
60,SSE,20180302,1
61,SSE,20180303,0
62,SSE,20180304,0
63,SSE,20180305,1
64,SSE,20180306,1
65,SSE,20180307,1
66,SSE,20180308,1
67,SSE,20180309,1
68,SSE,20180310,0
69,SSE,20180311,0
70,SSE,20180312,1
71,SSE,20180313,1
72,SSE,20180314,1
73,SSE,20180315,1
74,SSE,20180316,1
75,SSE,20180317,0
76,SSE,20180318,0
77,SSE,20180319,1
78,SSE,20180320,1
79,SSE,20180321,1
80,SSE,20180322,1
81,SSE,20180323,1
82,SSE,20180324,0
83,SSE,20180325,0
84,SSE,20180326,1
85,SSE,20180327,1
86,SSE,20180328,1
87,SSE,20180329,1
88,SSE,20180330,1
89,SSE,20180331,0
90,SSE,20180401,0
91,SSE,20180402,1
92,SSE,20180403,1
93,SSE,20180404,1
94,SSE,20180405,0
95,SSE,20180406,0
96,SSE,20180407,0
97,SSE,20180408,0
98,SSE,20180409,1
99,SSE,20180410,1
100,SSE,20180411,1
101,SSE,20180412,1
102,SSE,20180413,1
103,SSE,20180414,0
104,SSE,20180415,0
105,SSE,20180416,1
106,SSE,20180417,1
107,SSE,20180418,1
108,SSE,20180419,1
109,SSE,20180420,1
