,TS代码,分红年度,预案公告日,实施进度,每股送转,每股送股比例,每股转增比例,每股分红（税后）,每股分红（税前）,股权登记日,除权除息日,派息日,红股上市日,实施公告日,基准日,基准股本（万）
0,600000.SH,20181231,20190326,实施,0.0,,,0.35,0.35,20190610,20190611,20190611,,20190604,20181231,2935208.0397
1,600000.SH,20181231,20190326,股东大会通过,0.0,,,0.0,0.35,,,,,,20181231,2935208.0397
2,600000.SH,20181231,20190326,预案,0.0,,,0.0,0.35,,,,,,20181231,2935208.0397
3,600000.SH,20180630,20180830,预案,0.0,,,0.0,0.0,,,,,,,
4,600000.SH,20171231,20180428,实施,0.0,,,0.1,0.1,20180712,20180713,20180713,,20180706,20171231,2935208.0397
5,600000.SH,20161231,20170401,实施,0.3,,0.3,0.2,0.2,20170524,20170525,20170525,20170526,20170519,20161231,2161827.9922
6,600000.SH,20151231,20160407,实施,0.1,,0.1,0.515,0.515,20160622,20160623,20160623,20160624,20160616,20160318,1965298.1747
7,600000.SH,20141231,20150319,实施,0.0,,,0.71915,0.757,20150619,20150623,20150623,,20150616,20141231,1865347.1415
8,600000.SH,20131231,20140320,实施,0.0,,,0.627,0.66,20140623,20140624,20140624,,20140617,20131231,1865347.1415
9,600000.SH,20121231,20130314,实施,0.0,,,0.5225,0.55,20130531,20130603,20130607,,20130527,20121231,1865347.1415
10,600000.SH,20111231,20120316,实施,0.0,,,0.27,0.3,20120625,20120626,20120629,,20120619,20111231,1865347.1415
11,600000.SH,20101231,20110330,实施,0.3,0.3,,0.114,0.16,20110602,20110603,20110613,20110607,20110530,20101231,1434882.4165
12,600000.SH,20091231,20100407,实施,0.3,0.3,,0.105,0.15,20100609,20100610,20100618,20100611,20100604,20091231,883004.564
13,600000.SH,20081231,20090410,实施,0.4,0.4,,0.167,0.23,20090608,20090609,20090616,20090610,20090603,20081231,566134.7506
14,600000.SH,20071231,20080228,实施,0.3,0.3,,0.114,0.16,20080423,20080424,20080429,20080425,20080418,20071231,435488.2697
15,600000.SH,20061231,20070324,实施,0.0,,,0.135,0.15,20070717,20070718,20070720,,20070713,20061231,435488.2697
16,600000.SH,20051231,20060302,实施,0.0,,,0.117,0.13,20060524,20060525,20060529,,20060519,20051231,391500.0
17,600000.SH,20041231,20050226,实施,0.0,,,0.096,0.12,20050511,20050512,20050516,,20050430,20041231,391500.0
18,600000.SH,20031231,20040227,实施,0.0,,,0.088,0.11,20040519,20040520,20040525,,20040515,20031231,391500.0
19,600000.SH,20021231,20030329,实施,0.0,,,0.08,0.1,20030620,20030623,20030627,,20030617,20021231,391500.0
20,600000.SH,20011231,20020321,实施,0.5,,0.5,0.16,0.2,20020821,20020822,20020827,20020823,20020817,20011231,241000.0
21,600000.SH,19991231,20000328,实施,0.0,,,0.125,0.15,20000705,20000706,20000707,,20000701,19991231,241000.0
