,S代码,��告期,��营业务来源,��营业务收入(元),��营业务利润(元),��营业务成本(元),��币代码
0,300030.SZ,20181231,软件产品及服务收入,29981923.46,8339643.73,21642279.73,CNY
1,300030.SZ,20181231,真空采血系统,336167475.28,131838987.22,204328488.06,CNY
2,300030.SZ,20181231,仪器销售,38883090.32,16730306.77,22152783.55,CNY
3,300030.SZ,20181231,融资租赁收入,30487660.64,24018665.23,6468995.41,CNY
4,300030.SZ,20181231,其他主营业务,20391255.76,6547911.96,13843343.8,CNY
5,300030.SZ,20181231,试剂销售,94051856.53,36093743.33,57958113.2,CNY
6,300030.SZ,20180630,真空采血系统,154084048.19,62848651.26,91235396.93,CNY
7,300030.SZ,20180630,融资租赁收入,16066648.55,12606549.32,3460099.23,CNY
8,300030.SZ,20180630,其他主营业务,12037458.52,2451716.66,9585741.86,CNY
9,300030.SZ,20180630,试剂销售,42607874.5,17511467.41,25096407.09,CNY
10,300030.SZ,20180630,软件产品及服务收入,17720831.72,11681799.92,6039031.8,CNY
11,300030.SZ,20180630,仪器销售,16594037.14,8154839.92,8439197.22,CNY
12,300030.SZ,20171231,真空采血系统,307298799.0,125232943.08,182065855.92,CNY
13,300030.SZ,20171231,代理产品及其他,15566637.73,3223590.3,12343047.43,CNY
14,300030.SZ,20171231,试剂销售,101192882.29,42351142.82,58841739.47,CNY
15,300030.SZ,20171231,软件产品及服务收入,57998510.89,35541107.63,22457403.26,CNY
16,300030.SZ,20171231,仪器销售,35043713.1,13064578.63,21979134.47,CNY
17,300030.SZ,20171231,其他主营业务,15566637.73,3223590.3,12343047.43,CNY
18,300030.SZ,20171231,融资租赁收入,32552299.54,26102941.61,6449357.93,CNY
19,300030.SZ,20170630,其他业务,1250838.05,756451.42,494386.63,CNY
20,300030.SZ,20170630,代理产品及其他,6229438.19,282978.31,5946459.88,CNY
21,300030.SZ,20170630,真空采血系统,134284307.29,56207855.03,78076452.26,CNY
22,300030.SZ,20170630,仪器销售,12248276.39,5572873.16,6675403.23,CNY
