,TS代码,分红年度,预案公告日,实施进度,每股送转,每股送股比例,每股转增比例,每股分红（税后）,每股分红（税前）,股权登记日,除权除息日,派息日,红股上市日,实施公告日,基准日,基准股本（万）
0,300030.SZ,20181231,20190426,预案,0.0,,,0.0,0.0,,,,,,,
1,300030.SZ,20181231,20190426,股东大会通过,0.0,,,0.0,0.0,,,,,,,
2,300030.SZ,20180630,20180828,预案,0.0,,,0.0,0.0,,,,,,,
3,300030.SZ,20171231,20180425,实施,0.0,,,0.025,0.025,20180619,20180620,20180620,,20180613,20171231,30879.5815
4,300030.SZ,20151231,20160426,实施,0.0,,,0.025,0.025,20160725,20160726,20160726,,20160720,20151231,30879.5815
5,300030.SZ,20141231,20150216,实施,0.0,,,0.0285,0.03,20150525,20150526,20150526,,20150519,20141231,29600.0
6,300030.SZ,20131231,20140319,实施,1.0,,1.0,0.0475,0.05,20140424,20140425,20140425,20140425,20140421,20131231,14800.0
7,300030.SZ,20121231,20130330,实施,0.0,,,0.057,0.06,20130530,20130531,20130531,,20130524,20121231,14800.0
8,300030.SZ,20111231,20120413,实施,0.0,,,0.054,0.06,20120524,20120525,20120525,,20120521,20111231,14800.0
9,300030.SZ,20101231,20110225,实施,1.0,0.5,0.5,0.04,0.1,20110512,20110513,20110513,20110513,20110505,20101231,7400.0
