,TS代码,公告日期,报告期,基本每股收益,稀释每股收益,每股营业总收入,每股营业收入,每股资本公积,每股盈余公积,每股未分配利润,非经常性损益,扣除非经常性损益后的净利润,毛利,流动比率,速动比率,保守速动比率,应收账款周转率,流动资产周转率,固定资产周转率,总资产周转率,经营活动净收益,息税前利润,息税折旧摊销前利润,企业自由现金流量,股权自由现金流量,无息流动负债,无息非流动负债,带息债务,净债务,有形资产,营运资金,营运流动资本,全部投入资本,留存收益,期末摊薄每股收益,每股净资产,每股经营活动产生的现金流量净额,每股留存收益,每股现金流量净额,每股息税前利润,每股企业自由现金流量,每股股东自由现金流量,销售净利率,销售毛利率,销售成本率,销售期间费用率,净利润/营业总收入,销售费用/营业总收入,管理费用/营业总收入,财务费用/营业总收入,资产减值损失/营业总收入,营业总成本/营业总收入,营业利润/营业总收入,息税前利润/营业总收入,净资产收益率,加权平均净资产收益率,净资产收益率(扣除非经常损益),总资产报酬率,总资产净利润,投入资本回报率,年化净资产收益率,年化总资产报酬率,资产负债率,权益乘数,权益乘数(杜邦分析),流动资产/总资产,非流动资产/总资产,有形资产/总资产,带息债务/全部投入资本,归属于母公司的股东权益/全部投入资本,流动负债/负债合计,非流动负债/负债合计,经营活动产生的现金流量净额/流动负债,产权比率,归属于母公司的股东权益/负债合计,归属于母公司的股东权益/带息债务,有形资产/负债合计,有形资产/带息债务,有形资产/净债务,经营活动产生的现金流量净额/负债合计,营业周期,年化总资产净利率,总资产净利率(杜邦分析),固定资产合计,利润总额／营业收入,销售费用／营业总收入 (单季度),营业总成本／营业总收入 (单季度),净资产收益率(单季度),净资产单季度收益率(扣除非经常损益),总资产净利润(单季度),经营活动产生的现金流量净额／营业收入(单季度),基本每股收益同比增长率(%),稀释每股收益同比增长率(%),每股经营活动产生的现金流量净额同比增长率(%),营业利润同比增长率(%),利润总额同比增长率(%),归属母公司股东的净利润同比增长率(%),归属母公司股东的净利润-扣除非经常损益同比增长率(%),经营活动产生的现金流量净额同比增长率(%),净资产收益率(摊薄)同比增长率(%),每股净资产相对年初增长率(%),资产总计相对年初增长率(%),归属母公司的股东权益相对年初增长率(%),营业总收入同比增长率(%),营业收入同比增长率(%),营业收入同比增长率(%)(单季度),营业利润环比增长率(%)(单季度),净资产同比增长率
0,300030.SZ,20190426,20190331,0.01,0.01,0.3594,0.3594,1.2776,0.1007,0.2524,7605630.9,-3094267.55,47489858.87,2.6147,2.3366,1.8117,0.5346,0.1592,0.4107,0.0746,-1927084.58,15307217.88,,26179113.03,24539024.27,135311159.17,64713616.68,446313873.03,208672551.36,587608208.0,419140635.92,305763049.62,1263680481.72,109032694.15,0.0146,2.6399,0.0361,0.3531,0.0125,0.0496,0.0848,0.0795,4.0728,42.7899,57.2101,42.979,4.0728,15.3176,19.9225,7.7388,,101.7364,6.1539,13.7923,0.5549,0.55,-0.3806,1.0291,0.3039,0.7987,2.2196,4.1164,44.1577,1.7908,1.8295,46.3697,53.6303,40.1453,35.3186,64.5101,40.1608,59.8392,0.0429,0.7908,1.2613,1.8265,0.9091,1.3166,2.8159,0.0172,274.9853,1.2156,0.3033,302863500.5,6.0535,15.3176,101.7364,0.5549,-0.3806,0.3039,10.041,0.0,0.0,196.5241,26.9539,24.9434,29.2655,-2177.98,196.4558,51.8848,0.537,-3.1391,0.5383,-10.5027,-10.5027,-10.5027,104.2075,-14.8924
1,300030.SZ,20190426,20181231,-0.44,-0.44,1.781,1.781,1.2776,0.1007,0.2378,10204113.21,-147005477.69,223569258.24,2.2928,2.0421,1.4723,2.6535,0.7507,1.9507,0.3377,-153553716.16,-121746440.67,-81932075.9,-31844093.96,-30825884.4,136297575.55,59569711.59,499800303.13,265713860.16,578194960.4,403654810.31,345495325.72,1315274917.87,104521330.8,-0.443,2.6258,0.1815,0.3385,-0.113,-0.3943,-0.1031,-0.0998,-25.6366,40.6517,59.3483,43.8096,-25.6366,17.8678,21.7573,4.1845,23.2343,127.9207,-26.2414,-22.1372,-15.4952,-15.51,-16.651,-7.476,-8.6578,-8.4581,-15.4952,-7.476,46.0359,1.8531,1.8446,47.3734,52.6266,38.2621,37.9997,61.6477,44.8813,55.1187,0.1795,0.8531,1.1656,1.6223,0.8311,1.1569,2.176,0.0806,225.8661,-8.6578,-8.4004,308897127.15,-26.2727,23.6122,202.2216,-17.1374,-17.4302,-9.6507,15.2202,-1200.0,-1200.0,-60.5863,-952.2762,-953.5326,-1325.9876,-4703.39,-60.5915,-1543.7979,-15.0859,-13.4449,-15.0859,0.0565,0.0565,-9.4687,-6791.399,-15.0859
2,300030.SZ,20181025,20180930,0.05,0.05,1.2717,1.2717,1.2776,0.1007,0.7299,7608067.17,7554084.5,171122455.4,2.223,1.9267,1.2171,1.9125,0.5173,1.3889,0.2288,7215130.04,34387401.63,,-139354563.1382,-186234364.6582,116004182.19,62507824.52,539297056.43,349678487.47,653998631.88,422946935.77,463162161.48,1508953570.17,256484846.95,0.0491,3.1174,0.1039,0.8306,-0.2558,0.1114,-0.4513,-0.6031,3.4003,43.5772,56.4228,39.4977,3.4003,15.5671,19.7608,4.1699,0.7351,98.1626,4.5856,8.7569,1.5814,1.58,0.7879,2.0031,0.7778,1.6593,2.1085,2.6708,42.5377,1.7403,1.7905,45.5586,54.4414,38.7563,35.7398,63.795,48.1797,51.8203,0.0928,0.7403,1.3411,1.785,0.9111,1.2127,1.8703,0.0447,255.5736,1.0371,0.8832,308426892.26,4.587,17.2644,100.6181,0.2465,0.0052,0.1208,23.4843,0.0,0.0,7892.3077,37.7038,-6.2962,0.7771,-24.81,7729.0117,0.3979,0.8117,-3.3454,0.8113,4.4583,4.4583,-5.2166,-76.2206,0.3776
3,300030.SZ,20180828,20180630,0.04,0.04,0.8391,0.8391,1.2776,0.1007,0.7222,5287857.89,7504370.31,115255024.49,2.0594,1.7875,1.1858,1.2625,0.3566,0.9075,0.151,8040730.43,26408326.47,46542183.19,-53424523.8516,-101055544.9516,114458393.16,62317484.37,541893458.7,365527211.45,651538170.06,362192225.58,413236908.7,1509187893.36,254114923.48,0.0414,3.1087,0.0024,0.8229,-0.2987,0.0855,-0.173,-0.3273,4.3669,44.481,55.519,38.7319,4.3669,14.6921,19.0659,4.974,1.114,96.8968,6.0134,10.1919,1.3361,1.33,0.7838,1.539,0.6594,1.2472,2.6722,3.078,42.6266,1.743,1.7922,41.7602,58.2398,38.6448,35.9063,63.6066,47.5698,52.4302,0.0021,0.743,1.3357,1.7715,0.9066,1.2023,1.7825,0.001,254.0846,1.3188,0.7455,311349029.42,6.0187,13.5742,94.0738,0.9701,0.7671,0.486,9.091,0.0,0.0,102.807,51.7247,-2.9707,-3.3014,-11.44,102.7592,-3.5585,0.5303,-3.4314,0.5291,10.2603,10.2603,7.6459,89.6281,0.2666
4,300030.SZ,20180425,20180331,0.01,0.01,0.4016,0.4016,1.2776,0.1007,0.7171,3341090.49,148907.77,57290790.26,2.7953,2.4255,1.6273,0.613,0.1754,0.4303,0.0724,34266.41,15924636.56,,-43385693.4,-109634961.91,130228159.0,50544160.21,530490126.47,365537111.81,649663714.45,427082502.51,369787496.69,1496818929.56,252532588.92,0.0113,3.1019,-0.0374,0.8178,-0.3421,0.0516,-0.1405,-0.355,2.5336,46.1993,53.8007,44.3988,2.5336,15.91,19.9833,8.5055,,99.9724,4.3383,12.8416,0.3649,0.36,0.0156,0.9303,0.1835,0.6081,1.4596,3.7212,42.3978,1.736,1.7898,39.6383,60.3617,38.726,35.4412,63.9922,33.4456,66.5544,-0.0486,0.736,1.3467,1.8056,0.9134,1.2246,1.7773,-0.0162,263.6868,0.734,0.2039,317041615.47,4.3361,15.91,99.9724,0.3649,0.0156,0.1835,-9.3166,-50.0,-50.0,76.942,-5.4574,-32.8375,-41.2711,-97.1,76.9316,-41.7362,0.3104,-3.911,0.3098,13.2572,13.2572,13.2572,54.8593,0.7984
5,300030.SZ,20180425,20171231,0.04,0.04,1.78,1.78,1.2776,0.1007,0.7058,7965047.65,3193414.98,245516304.07,2.5591,2.2678,1.6574,2.8492,0.8171,1.8278,0.3419,2785448.82,39555985.93,78510166.8,-33188198.4299,79693211.9101,131236744.9,51097422.66,599819105.51,328417475.79,647705558.73,456540546.9,346732842.47,1563538237.27,249042590.66,0.0361,3.0923,0.4605,0.8065,0.4615,0.1281,-0.1075,0.2581,1.5001,44.6675,55.3325,40.0251,1.5001,16.5308,18.2292,5.2651,2.5103,99.4932,3.0807,7.1965,1.175,1.17,0.3363,2.4601,0.5128,1.3453,1.175,2.4601,44.8001,1.8116,1.6932,42.9225,57.0775,37.0992,38.3629,61.0724,37.439,62.561,0.4856,0.8116,1.2208,1.592,0.8281,1.0798,1.9722,0.1818,239.8694,0.5128,0.694,321507705.5,3.0799,18.5178,106.0881,-0.4062,-0.7162,-0.3194,81.6138,-60.0,-60.0,513.1824,-31.6551,-58.213,-63.3878,-84.64,513.2964,-63.7908,1.1117,18.7767,1.113,6.2946,6.2946,9.8346,21.7906,1.113
6,300030.SZ,20171030,20170930,0.05,0.05,1.2174,1.2174,1.2773,0.1007,0.7184,4998419.49,10046821.21,169930056.28,2.211,1.9186,1.6752,2.0598,0.5755,1.2468,0.2327,13362013.63,39668895.04,,34124173.4629,332969194.1629,119688809.53,30173273.1,642581627.39,316080104.15,674546164.85,389037964.19,264102619.75,1610839419.35,252929368.73,0.0487,3.1057,0.0013,0.8191,0.6459,0.1285,0.1105,1.0783,3.683,45.2028,54.7972,39.5226,3.683,15.6125,18.4713,5.4388,0.6429,96.4456,3.5803,10.5522,1.5809,1.58,1.0557,2.4558,0.8571,1.9626,2.1079,3.2744,45.0073,1.8184,1.6973,40.3415,59.6585,38.3112,39.8911,59.5352,40.5398,59.4602,0.0013,0.8184,1.2102,1.4924,0.8512,1.0497,2.1341,0.0005,262.442,1.1428,0.9314,307513837.53,5.1135,14.6602,98.7062,0.1896,0.1642,0.0809,19.0358,-28.5714,-28.5714,101.1159,-12.9916,-22.2634,-30.0707,-39.26,101.1395,-31.8354,1.5499,19.7855,1.5498,4.7347,4.7347,4.4996,-38.2828,2.5889
7,300030.SZ,20170826,20170630,0.04,0.04,0.761,0.761,1.2773,0.1007,0.7125,4755084.5,8473882.72,112176286.73,2.2427,1.9372,1.7079,1.3219,0.3472,0.7716,0.1446,11538732.43,25649979.22,45177469.89,77857844.0548,395917861.2248,118984205.09,34954910.78,660734365.65,295783118.24,675224820.51,419792474.35,273674914.23,1627378660.65,251113095.25,0.0428,3.1004,-0.0855,0.8132,0.7704,0.0831,0.2521,1.2821,5.2816,47.7347,52.2653,40.4651,5.2816,16.1836,19.1558,5.1257,1.0284,95.0899,4.5136,10.9149,1.3912,1.39,0.8912,1.5779,0.7635,1.3529,2.7824,3.1558,45.7343,1.8428,1.7096,42.5309,57.4691,37.9059,40.6011,58.8302,41.4667,58.5333,-0.0782,0.8428,1.1752,1.449,0.8288,1.0219,2.2828,-0.0324,289.8299,1.527,0.8138,303040943.53,6.8394,17.2484,97.0661,0.7639,0.3498,0.4003,18.8562,-20.0,-20.0,49.6466,1.2656,-6.2201,-9.3104,-21.87,49.6322,-12.114,1.3766,21.1881,1.3777,4.8762,4.8762,5.7082,-22.7782,3.19
8,300030.SZ,20170427,20170331,0.02,0.02,0.3546,0.3546,1.2773,0.1007,0.6889,804792.76,5137759.1,51807902.04,1.4411,1.1958,0.9212,0.5974,0.1824,0.3561,0.0719,7856441.65,12078162.96,,-10638538.4298,120628927.6002,98790787.18,39639598.63,477009119.22,296923551.76,673369041.36,185052044.78,325715321.09,1436957112.07,243826679.89,0.0192,3.0773,-0.1622,0.7896,0.1698,0.0391,-0.0345,0.3906,5.1996,47.3165,52.6835,38.647,5.1996,14.9631,19.965,3.719,,92.8247,5.4662,11.0311,0.6273,0.63,0.5423,0.7932,0.3739,0.6274,2.5092,3.1728,39.0659,1.6411,1.6073,38.3773,61.6227,42.7431,33.1958,66.1301,68.1691,31.8309,-0.1194,0.6411,1.544,1.9921,1.0941,1.4116,2.2678,-0.0814,314.0218,1.4956,0.3903,306506033.82,7.3121,14.9631,92.8247,0.6273,0.5423,0.3739,-45.741,0.0,0.0,-26933.3333,11.6153,0.166,-17.5841,-20.22,-28374.073,-19.5279,0.6213,7.1781,0.6228,3.9385,3.9385,3.9385,-35.825,2.4155
9,300030.SZ,20170330,20161231,0.1,0.1,1.6746,1.6746,1.2773,0.1007,0.6697,9685280.3,20792160.55,240641122.02,1.4442,1.1861,0.7945,2.7885,0.862,1.6552,0.3555,26375396.69,54679317.88,95493096.89,19953.7068,35696549.7968,124945253.2,44211164.92,346543408.49,218278004.57,668817190.77,183326592.79,342844321.91,1300721994.61,237884128.03,0.0987,3.0583,0.0751,0.7704,-0.1203,0.1771,0.0001,0.1156,5.8973,46.5364,53.4636,39.5661,5.8973,18.7198,18.6897,2.1567,0.395,94.8994,4.795,10.5742,3.2682,3.27,2.2296,3.759,2.0965,3.2393,3.2682,3.759,35.0845,1.5405,1.5599,40.5513,59.4487,45.5015,26.6424,72.6042,80.0327,19.9673,0.0562,0.5405,1.8313,2.7251,1.2969,1.93,3.0641,0.045,282.2215,2.0965,2.0952,312973555.68,7.8343,19.4282,92.1391,0.9539,0.4526,0.6763,37.4058,-23.0769,-23.0769,388.8462,-35.1649,-18.6194,-23.4912,-37.8,389.1083,-25.4109,2.5759,2.1216,2.5737,-5.1794,-5.1794,-10.4787,86.723,2.5737
